"company","sector","total_return_pct"
"Mahindra & Mahindra","Automobile",406.41
"Bharti Airtel","Telecom",316.41
"State Bank of India","Banking",251.54
"NTPC","Power",232.71
"Larsen & Toubro","Infrastructure",214.84
"JSW Steel","Metals",198.90
"Sun Pharma","Pharmaceuticals",188.42
"Tata Steel","Metals",180.02
"Titan Company","Consumer",159.94
"ONGC","Oil & Gas",157.92
