"sector","number_of_stocks","average_return_pct"
"Telecom",1,316.41
"Automobile",2,261.75
"Power",1,232.71
"Infrastructure",1,214.84
"Metals",2,189.46
"Oil & Gas",1,157.92
"Pharmaceuticals",2,135.63
"Banking",5,111.82
"Consumer",2,79.86
"Energy",1,71.21
"FMCG",3,44.11
"IT",4,36.03
